_id,entity_ids,entity
ObjectID(54446954474d79458e26f6ce),"[ { ""$oid"" : ""54446954474d79458e26f6cd"" } ]","abuubaydah37"
ObjectID(54446954474d79458e26f6d0),"[ { ""$oid"" : ""54446954474d79458e26f6cf"" } ]","freesha"
ObjectID(54446954474d79458e26f6d2),"[ { ""$oid"" : ""54446954474d79458e26f6d1"" } ]","obama"
ObjectID(54446955474d79458e26f6d5),"[ { ""$oid"" : ""54446955474d79458e26f6d4"" } ]","taliban"
ObjectID(54446955474d79458e26f6d8),"[ { ""$oid"" : ""54446955474d79458e26f6d7"" } ]","sydney"
ObjectID(54446955474d79458e26f6db),"[ { ""$oid"" : ""54446955474d79458e26f6da"" } ]","maywand osman"
ObjectID(54446955474d79458e26f6df),"[ { ""$oid"" : ""54446955474d79458e26f6de"" } ]","john"
ObjectID(54446955474d79458e26f6e2),"[ { ""$oid"" : ""54446955474d79458e26f6e1"" } ]","australia"
ObjectID(54446955474d79458e26f6e5),"[ { ""$oid"" : ""54446955474d79458e26f6e4"" } ]","fire"
ObjectID(54446955474d79458e26f6e9),"[ { ""$oid"" : ""54446955474d79458e26f6e8"" } ]","quran"
ObjectID(54446955474d79458e26f6ee),"[ { ""$oid"" : ""54446955474d79458e26f6ed"" } ]","wake up"
ObjectID(54446955474d79458e26f6f1),"[ { ""$oid"" : ""54446955474d79458e26f6f0"" } ]","war"
ObjectID(54446955474d79458e26f6f4),"[ { ""$oid"" : ""54446955474d79458e26f6f3"" } ]","western europ"
ObjectID(54446955474d79458e26f6f7),"[ { ""$oid"" : ""54446955474d79458e26f6f6"" } ]","a2756830d1e847c"
ObjectID(54446955474d79458e26f6f9),"[ { ""$oid"" : ""54446955474d79458e26f6f8"" } ]","ameer"
ObjectID(54446955474d79458e26f6fc),"[ { ""$oid"" : ""54446955474d79458e26f6fb"" } ]","abujabir_1"
ObjectID(54446955474d79458e26f700),"[ { ""$oid"" : ""54446955474d79458e26f6ff"" } ]","farisbritani"
ObjectID(54446955474d79458e26f702),"[ { ""$oid"" : ""54446955474d79458e26f701"" } ]","mediafullofli"
ObjectID(54446955474d79458e26f705),"[ { ""$oid"" : ""54446955474d79458e26f704"" } ]","abuzakariyyeh"
ObjectID(54446955474d79458e26f708),"[ { ""$oid"" : ""54446955474d79458e26f707"" } ]","muhammad"
ObjectID(54446955474d79458e26f70b),"[ { ""$oid"" : ""54446955474d79458e26f70a"" } ]","sharan"
ObjectID(54446955474d79458e26f70f),"[ { ""$oid"" : ""54446955474d79458e26f70e"" } ]","tasneem4321"
ObjectID(54446955474d79458e26f712),"[ { ""$oid"" : ""54446955474d79458e26f711"" } ]","alwalawalbara"
ObjectID(54446956474d79458e26f717),"[ { ""$oid"" : ""54446956474d79458e26f716"" } ]","let"
ObjectID(54446956474d79458e26f71b),"[ { ""$oid"" : ""54446956474d79458e26f71a"" }, { ""$oid"" : ""5444cf3f474d79458e27424e"" } ]","alan hen"
ObjectID(54446956474d79458e26f71d),"[ { ""$oid"" : ""54446956474d79458e26f71c"" } ]","aafia siddiqui"
ObjectID(54446956474d79458e26f720),"[ { ""$oid"" : ""54446956474d79458e26f71f"" } ]","aqim center zon"
ObjectID(54446956474d79458e26f722),"[ { ""$oid"" : ""54446956474d79458e26f721"" } ]","abu bakr"
ObjectID(54446956474d79458e26f724),"[ { ""$oid"" : ""54446956474d79458e26f723"" } ]","algeria"
ObjectID(54446956474d79458e26f727),"[ { ""$oid"" : ""54446956474d79458e26f726"" } ]","nigeria"
ObjectID(54446956474d79458e26f729),"[ { ""$oid"" : ""54446956474d79458e26f728"" } ]","territori"
ObjectID(54446956474d79458e26f72b),"[ { ""$oid"" : ""54446956474d79458e26f72a"" } ]","ibrahim"
ObjectID(54446956474d79458e26f72f),"[ { ""$oid"" : ""54446956474d79458e26f72e"" } ]","tikrit"
ObjectID(54446956474d79458e26f731),"[ { ""$oid"" : ""54446956474d79458e26f730"" } ]","abu_baraa1"
ObjectID(54446956474d79458e26f733),"[ { ""$oid"" : ""54446956474d79458e26f732"" }, { ""$oid"" : ""54446958474d79458e26f7b0"" } ]","islam"
ObjectID(54446956474d79458e26f736),"[ { ""$oid"" : ""54446956474d79458e26f735"" } ]","bahrain"
ObjectID(54446956474d79458e26f739),"[ { ""$oid"" : ""54446956474d79458e26f738"" } ]","israel tel"
ObjectID(54446956474d79458e26f73b),"[ { ""$oid"" : ""54446956474d79458e26f73a"" } ]","isis reaches jordan"
ObjectID(54446956474d79458e26f73d),"[ { ""$oid"" : ""54446956474d79458e26f73c"" } ]","islamicstate israel gaza"
ObjectID(54446956474d79458e26f740),"[ { ""$oid"" : ""54446956474d79458e26f73f"" } ]","shiit"
ObjectID(54446956474d79458e26f742),"[ { ""$oid"" : ""54446956474d79458e26f741"" } ]","amrli"
ObjectID(54446956474d79458e26f744),"[ { ""$oid"" : ""54446956474d79458e26f743"" } ]","suleiman baek"
ObjectID(54446956474d79458e26f746),"[ { ""$oid"" : ""54446956474d79458e26f745"" } ]","american"
ObjectID(54446956474d79458e26f748),"[ { ""$oid"" : ""54446956474d79458e26f747"" } ]","sunni"
ObjectID(54446956474d79458e26f74c),"[ { ""$oid"" : ""54446956474d79458e26f74b"" } ]","jn"
ObjectID(54446956474d79458e26f74e),"[ { ""$oid"" : ""54446956474d79458e26f74d"" } ]","isis jn"
ObjectID(54446956474d79458e26f751),"[ { ""$oid"" : ""54446956474d79458e26f750"" } ]","johnkerri"
ObjectID(54446956474d79458e26f755),"[ { ""$oid"" : ""54446956474d79458e26f754"" } ]","ruqayyah_habib"
ObjectID(54446956474d79458e26f759),"[ { ""$oid"" : ""54446956474d79458e26f758"" } ]","american dron"
ObjectID(54446956474d79458e26f75f),"[ { ""$oid"" : ""54446956474d79458e26f75e"" } ]","come"
ObjectID(54446956474d79458e26f762),"[ { ""$oid"" : ""54446956474d79458e26f761"" } ]","shibntaymiyyah"
ObjectID(54446956474d79458e26f766),"[ { ""$oid"" : ""54446956474d79458e26f765"" } ]","prais"
ObjectID(54446957474d79458e26f76c),"[ { ""$oid"" : ""54446957474d79458e26f76b"" } ]","omer812"
ObjectID(54446957474d79458e26f76f),"[ { ""$oid"" : ""54446957474d79458e26f76e"" } ]","path fo"
ObjectID(54446957474d79458e26f773),"[ { ""$oid"" : ""54446957474d79458e26f772"" }, { ""$oid"" : ""5444695a474d79458e26f82c"" }, { ""$oid"" : ""54449fb6474d79458e271626"" } ]","arab"
ObjectID(54446957474d79458e26f776),"[ { ""$oid"" : ""54446957474d79458e26f775"" } ]","dawlatul khilafa"
ObjectID(54446957474d79458e26f778),"[ { ""$oid"" : ""54446957474d79458e26f777"" } ]","r_tawheed1 akhi"
ObjectID(54446957474d79458e26f77b),"[ { ""$oid"" : ""54446957474d79458e26f77a"" } ]","r_tawheed1 jazakallahu"
ObjectID(54446957474d79458e26f77e),"[ { ""$oid"" : ""54446957474d79458e26f77d"" } ]","r_tawheed1"
ObjectID(54446957474d79458e26f780),"[ { ""$oid"" : ""54446957474d79458e26f77f"" } ]","noti"
ObjectID(54446957474d79458e26f783),"[ { ""$oid"" : ""54446957474d79458e26f782"" } ]","brothers and"
ObjectID(54446957474d79458e26f786),"[ { ""$oid"" : ""54446957474d79458e26f785"" } ]","islamicstate ummahukmuslim"
ObjectID(54446957474d79458e26f789),"[ { ""$oid"" : ""54446957474d79458e26f788"" } ]","islamicstate tawbah"
ObjectID(54446957474d79458e26f78e),"[ { ""$oid"" : ""54446957474d79458e26f78d"" } ]","jihad"
ObjectID(54446957474d79458e26f791),"[ { ""$oid"" : ""54446957474d79458e26f790"" }, { ""$oid"" : ""54449fdd474d79458e271c3b"" } ]","khilafah"
ObjectID(54446958474d79458e26f796),"[ { ""$oid"" : ""54446958474d79458e26f795"" } ]","barackobama"
ObjectID(54446958474d79458e26f79b),"[ { ""$oid"" : ""54446958474d79458e26f79a"" } ]","islamicstate ummah tawhe"
ObjectID(54446958474d79458e26f79d),"[ { ""$oid"" : ""54446958474d79458e26f79c"" } ]","ummata muham"
ObjectID(54446958474d79458e26f79f),"[ { ""$oid"" : ""54446958474d79458e26f79e"" } ]","leader"
ObjectID(54446958474d79458e26f7a1),"[ { ""$oid"" : ""54446958474d79458e26f7a0"" } ]","bagdadi and"
ObjectID(54446958474d79458e26f7a3),"[ { ""$oid"" : ""54446958474d79458e26f7a2"" } ]","let u"
ObjectID(54446958474d79458e26f7a5),"[ { ""$oid"" : ""54446958474d79458e26f7a4"" } ]","flag and"
ObjectID(54446958474d79458e26f7a8),"[ { ""$oid"" : ""54446958474d79458e26f7a7"" } ]","free"
ObjectID(54446958474d79458e26f7ac),"[ { ""$oid"" : ""54446958474d79458e26f7ab"" } ]","spread"
ObjectID(54446958474d79458e26f7b2),"[ { ""$oid"" : ""54446958474d79458e26f7b1"" } ]","isis blessing caliph"
ObjectID(54446958474d79458e26f7b4),"[ { ""$oid"" : ""54446958474d79458e26f7b3"" } ]","alhamdulillah"
ObjectID(54446958474d79458e26f7b7),"[ { ""$oid"" : ""54446958474d79458e26f7b6"" } ]","tabqa"
ObjectID(54446958474d79458e26f7ba),"[ { ""$oid"" : ""54446958474d79458e26f7b9"" } ]","quayres air-base.. aleppo syria"
ObjectID(54446958474d79458e26f7bc),"[ { ""$oid"" : ""54446958474d79458e26f7bb"" } ]","usa howitz"
ObjectID(54446958474d79458e26f7be),"[ { ""$oid"" : ""54446958474d79458e26f7bd"" } ]","ramiallolah"
ObjectID(54446958474d79458e26f7c1),"[ { ""$oid"" : ""54446958474d79458e26f7c0"" } ]","ekhtrin"
ObjectID(54446958474d79458e26f7c3),"[ { ""$oid"" : ""54446958474d79458e26f7c2"" } ]","syrian armi"
ObjectID(54446958474d79458e26f7c5),"[ { ""$oid"" : ""54446958474d79458e26f7c4"" } ]","fsa"
ObjectID(54446958474d79458e26f7c8),"[ { ""$oid"" : ""54446958474d79458e26f7c7"" }, { ""$oid"" : ""5444c40c474d79458e27343f"" } ]","caliph"
ObjectID(54446958474d79458e26f7ca),"[ { ""$oid"" : ""54446958474d79458e26f7c9"" } ]","long"
ObjectID(54446958474d79458e26f7cd),"[ { ""$oid"" : ""54446958474d79458e26f7cc"" } ]","steven sotloff"
ObjectID(54446958474d79458e26f7d1),"[ { ""$oid"" : ""54446958474d79458e26f7d0"" } ]","jannah"
ObjectID(54446958474d79458e26f7d3),"[ { ""$oid"" : ""54446958474d79458e26f7d2"" } ]","shuhada"
ObjectID(54446958474d79458e26f7d6),"[ { ""$oid"" : ""54446958474d79458e26f7d5"" } ]","salaxuden"
ObjectID(54446959474d79458e26f7d9),"[ { ""$oid"" : ""54446959474d79458e26f7d8"" } ]","europ"
ObjectID(54446959474d79458e26f7db),"[ { ""$oid"" : ""54446959474d79458e26f7da"" } ]","sham"
ObjectID(54446959474d79458e26f7dd),"[ { ""$oid"" : ""54446959474d79458e26f7dc"" } ]","somali"
ObjectID(54446959474d79458e26f7e1),"[ { ""$oid"" : ""54446959474d79458e26f7e0"" } ]","hacker"
