Id,Label,screen_name,weight,In-Degree,Out-Degree,Degree,Modularity Class,Clustering Coefficient,Eigenvector Centrality
2270654395,ZDaikhi,ZDaikhi,1,1,0,1,3,0,0.024711015
130215899,lac_news,lac_news,1,0,1,1,3,0,0
2830266360,Saeed__AlHalabi,Saeed__AlHalabi,1,4,4,8,3,0.8,0.157330079
612560892,alommahbrigade,alommahbrigade,1,0,1,1,3,0,0
2854023176,mohammadtarik81,mohammadtarik81,1,1,0,1,3,0,0.024711015
252866695,phathomdd,phathomdd,1,1,0,1,3,0,0.024711015
2437116041,edgard6156,edgard6156,1,1,0,1,3,0,0.024711015
87257307,pallap1,pallap1,1,1,0,1,3,0,0.024711015
2383147232,SalmanfFaris,SalmanfFaris,1,1,0,1,3,0,0.024711015
2625663276,Abu_Nusratullah,Abu_Nusratullah,1,2,0,2,3,0.5,0.035172715
2233299315,Hayyalaljihad,Hayyalaljihad,1,3,0,3,3,0.8333333,0.10703736
2617376167,noahmac82,noahmac82,1,3,0,3,3,0.8333333,0.10703736
2827252233,aboelaith25,aboelaith25,1,1,0,1,3,0,0.024711015
2495640093,Green_bird90,Green_bird90,1,5,1,6,3,0.8,0.16779178
383906376,ccoyne46,ccoyne46,1,1,0,1,3,0,0.024711015
1478685416,abu_almgdam,abu_almgdam,1,0,1,1,3,0,0
2739761936,TheSucuk,TheSucuk,1,2,0,2,3,0.5,0.058102608
1186467456,ABO_ALBARAA_,ABO_ALBARAA_,1,0,1,1,3,0,0
244839293,medhatbrooklyn,medhatbrooklyn,1,0,1,1,3,0,0
130184065,DanieleRaineri,DanieleRaineri,1,1,3,4,3,0.8333333,0.024711015
2851369891,5WqJyMhozshkJRO,5WqJyMhozshkJRO,1,1,0,1,3,0,0.024711015
2480665526,_a_b_d_,_a_b_d_,1,0,1,1,3,0,0
1035203550,shiful333,shiful333,1,1,0,1,3,0,0.024711015
2652435426,haytchy_kay,haytchy_kay,1,1,0,1,3,0,0.024711015
2818438145,JohnDeliro,JohnDeliro,1,1,0,1,3,0,0.024711015
2185884700,silybilyx,silybilyx,1,1,0,1,3,0,0.024711015
2645761188,qassam_arabic1,qassam_arabic1,1,0,1,1,3,0,0
573764710,CaucasusAffairs,CaucasusAffairs,1,0,2,2,3,0.5,0
2577134722,Abdulfiislam,Abdulfiislam,1,3,0,3,3,0.6666667,0.084107467
1331328180,shadeealmahdee,shadeealmahdee,1,0,1,1,3,0,0
1696298172,zeen_aldeen,zeen_aldeen,1,0,1,1,3,0,0
2818929886,ummabdussalam,ummabdussalam,1,1,0,1,3,0,0.024711015
1388967152,abureza5,abureza5,1,1,0,1,3,0,0.024711015
2426303730,moudjahid05,moudjahid05,1,1,0,1,3,0,0.024711015
1898673510,ibnharam,ibnharam,1,2,0,2,3,0.5,0.058102608
14153065,MarcvanHedel,MarcvanHedel,1,0,1,1,3,0,0
